"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6615","Simple Google Search Example","chromium","2026-09-16","passed","2026-09-16","Codegen Example","Codegen.spec.ts","",""
"","1889","has title","webkit","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","8293","get started link","firefox","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","82779","Simple Google Search Example","firefox","2026-09-16","broken","2026-09-16","Codegen Example","Codegen.spec.ts","",""
"","14841","TS-01: User can launch Chrome browser and inspect elements on Google search page","firefox","2026-09-16","passed","2026-09-16","Google Search","index.spec.ts","",""
"","35182","Chromium Instance","webkit","2026-09-16","passed","2026-09-16","Try creating browser insatnces","BrowserInstances.spec.ts","",""
"","11609","TS-01: User can launch Chrome browser and inspect elements on Google search page","webkit","2026-09-16","passed","2026-09-16","Google Search","index.spec.ts","",""
"","10386","Simple Google Search Example","webkit","2026-09-16","passed","2026-09-16","Codegen Example","Codegen.spec.ts","",""
"","16485","US02SC01-TC01: User can launch chrome and interact with Google search page","webkit","2026-09-16","failed","2026-09-16","US02SC01:Google Search Functionality","US02SC01.spec.ts","",""
"","4332","get started link","chromium","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","34470","Chromium Instance","chromium","2026-09-16","passed","2026-09-16","Try creating browser insatnces","BrowserInstances.spec.ts","",""
"","7350","Visual Regression Test for google","chromium","2026-09-16","passed","2026-09-16","Visual Regression Tests","VisualRegressions.spec.ts","",""
"","21158","US02SC01-TC01: User can launch chrome and interact with Google search page","chromium","2026-09-16","failed","2026-09-16","US02SC01:Google Search Functionality","US02SC01.spec.ts","",""
"","10597","Visual Regression Test for wikipedia","firefox","2026-09-16","failed","2026-09-16","Visual Regression Tests","VisualRegressions.spec.ts","",""
"","76032","US02SC01-TC01: User can launch chrome and interact with Google search page","firefox","2026-09-16","failed","2026-09-16","US02SC01:Google Search Functionality","US02SC01.spec.ts","",""
"","4956","Visual Regression Test for wikipedia","webkit","2026-09-16","failed","2026-09-16","Visual Regression Tests","VisualRegressions.spec.ts","",""
"","3665","get started link","webkit","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","18621","TS-01: User can launch Chrome browser and inspect elements on Google search page","chromium","2026-09-16","passed","2026-09-16","Google Search","index.spec.ts","",""
"","3869","has title","chromium","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","3446","Allure Report Generation with embedded screenshot for wikipedia page","chromium","2026-09-16","passed","2026-09-16","Allure Report Tests","AllureReport.spec.ts","",""
"","5293","Visual Regression Test for google","webkit","2026-09-16","failed","2026-09-16","Visual Regression Tests","VisualRegressions.spec.ts","",""
"","6201","Visual Regression Test for wikipedia","chromium","2026-09-16","passed","2026-09-16","Visual Regression Tests","VisualRegressions.spec.ts","",""
"","7571","has title","firefox","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","12845","Visual Regression Test for google","firefox","2026-09-16","failed","2026-09-16","Visual Regression Tests","VisualRegressions.spec.ts","",""
"","45700","Chromium Instance","firefox","2026-09-16","passed","2026-09-16","Try creating browser insatnces","BrowserInstances.spec.ts","",""
